,SUB,SUBM,AT,VERB,VERBM,OBJ,IOBJ,TIME,MANNER,CAUSE,PURPOSE,COMPANY,INSTRUMENT,SUBJECT,MATTER,CONCESSION,QUANTITY,OWNERCHIP,DOUBT,AC,RC,PC
64,group,of four children,,pose,on a muddy beach,,,,smiling and making faces,,,,,,,,,,,,,
65,a bearded man,,,stirs,,bowl-like objects,,,using a wooden pole,,,,,,filled with water,,,,,,,
66,guy,in glasses,,biting,into,pink marshmallow chick,,,,,,,,,,,,,,,,puckering their lips out wanting a bite
67,male teen,,,working,,school project,,,,,,,,,,,,,,,,
68,young man,a,holding,get splashed,as,young woman,in his arms,,,,,,,,,,,,,,,shooting up
69,a man,in a red shirt,,is laying,on the grass,,to another person,is laying,reaching out,,,,,,,,,,,,,
70,boy,small,,running,,,,,,,,,,,,,,,,,,
71,Women,in blue dress,,singing,on stage,,,,,,,,,,,,,,,,,
72,little boy,in a black and red striped shirt,a grassy hill,walks,down,,,,,,,,,,,,,,,,,
73,City street,crowded with sports fans wearing orange,,crowded,,,,,,,,,,,,,,,,,,
74,player,in the black shirt,stretching high in the air,reaches,for the football,it,the other,while the other stretches toward him,to steal it away,,,,,,,,,,,,,
75,man,,,wrecked,,racing bike,,,,,,,,,,,,,,,,with five spectators behind a rope
76,two mentwo women,in jackets,largecity,walk,down,street,,,,,,,,,,,,,,,,
77,woman,,,observing,,pictures,,,,,,,,,,,,,,,,
78,Little boy,,,getting soaked,,,,,,,,,,,,,,,,,,
79,boy,dressed for summer,green shirtkahki shorts,extends,food,reindeer,petting zoo,,,,,,,,,,,,,,,
80,dog,,,is,,,,,,,,,,,,,,,,,,near a ball
81,Skier,,,ski-jumping,,,,,,,,,,,,,,,,,,his act
82,mother,,,shading,,baby,,,with an umbrella,,,,,,,,,,,,,as she and her partner climb the stairs
83,man,wearing red sunglasses,,carrying,two cameras,cameras,,,,,,,,,,,,,,,,
84,boy,young,in red,leaping,into,sand,playground,,,,,,,,,,,,,,,
85,First Lady Laura Bush,at podium,in front of seated audience,speaking,at the White House Conference on Global Literacy,,,,,,on Global Literacy,,,,,,,,,,,
86,men,various,in wetsuitsand goggles,are standing,,,,,,,,,,,,,,,,,,
87,baseball players,near the pitching mound,,are celebrating,,,,,,,,,,,,,,,,,,as the batsman walks away
88,guy,in a yellow shirt,,performs,a balancing act,on a taught chain,near a canal,,,,,,,,,,,,,,,
89,group,of men,in blue shirtsbanded hatsred bandannas,stand,in a group,,,,,,,,,,,,,,,,,
90,woman,holding,a newborn baby,,a,newborn baby,,,,,,,,,,,,,,,,
91,youth,skateboarding,,does,a trick,on a rail,,,,,,,,,,,,,,,,
92,children,four,,playing,,,,,,,,,,,,,,,,,,
93,Three men,dressed in suits and ties,,clasps,their raised hands,,,,,,,,,,,,,,,,,
