CLASS,NOUN_NOUN,NOUN_ADJ,NOUN_VERB,NOUN_ADV,ADJ_NOUN,ADJ_ADJ,ADJ_VERB,ADJ_ADV,VERB_NOUN,VERB_ADJ,VERB_VERB,VERB_ADV,ADV_NOUN,ADV_ADJ,ADV_VERB,ADV_ADV
contradiction,15.46336401,0,8.476764005,5.92971015,0,0,0,0,2.84793216,0,4.481768303,1.360715508,0,0,0,0
entailment,10.876405,0,1.886986464,0,0.301782876,0,0,0,5.316092223,0,5.913310796,0,0.513602555,0,1.246327773,0
entailment,18.49358414,0,5.570440598,0,0,0,0,0,1.419155955,0,1.878832698,0,0,0,0,0
neutral,16.40888645,3.53652139,0,0,6.536400765,2.008330464,0,0,0.752672985,1.206772804,0,0,0,0,0,0
contradiction,11.96306594,0,2.779331999,0,0.932595789,0,0.366080664,0,2.585510582,0,0.919661522,0,0,0,0,0
entailment,11.94581372,0,3.007549495,0,3.787217736,0,1.408061624,0,4.446717292,0,8.11466527,0,0,0,0,0
contradiction,14.56117551,0,7.0318827,0,4.961032063,0,1.27902831,0,3.952366531,0,2.889344398,0,0,0,0,0
contradiction,45.91368094,4.828784257,20.44965315,0,3.976227701,0.252710417,0.927309036,0,21.82241052,1.898717761,16.91580558,0,6.739753008,1.076670647,3.381059289,0
contradiction,20.31324565,2.095366716,1.358492315,0,10.81240135,2.419847965,0.268428355,0,4.385199636,0.733420551,1.462522149,0,0,0,0,0
neutral,10.88986408,3.479830399,0.255362682,4.00610894,7.325028658,7.617791593,0.043559205,2.089610517,4.37354885,0.662551641,0.281004839,3.671606272,0,0,0,0
entailment,7.744825929,6.132952601,1.112620622,0,0.594286025,5.27744627,0.513932765,0,2.579972252,1.629532933,2.739748061,0,0,0,0,0
entailment,4.778244764,0,0.723546635,0.941764534,2.215859771,0,1.943249293,3.496285856,0.676655054,0,4.597817823,0.978277087,0,0,0,0
entailment,11.64920658,0,4.940650735,0,0,0,0.032713033,0,3.070559502,0,6.496876404,0,0,0,0,0
entailment,5.591050655,0,1.180529917,2.98088181,3.767891914,0,2.539572615,4.152287871,0,0,4.009821534,1.024792194,0,0,0,0
contradiction,19.55854225,0,1.522305215,0,0,0,0,0,2.271368742,0,1.507515993,0,0,0,0,0
neutral,16.02260479,4.2081168,12.49300253,0,1.939107656,1.62930581,1.444023106,0,8.259886503,1.900740802,9.330756057,0,2.558166146,0.504052877,2.796410106,0
entailment,10.00758159,0,9.838804025,0,2.382307947,0,0,0,1.450792789,0,4.18319422,0,0,0,0,0
entailment,6.37166518,0,0.049282771,8.737631619,0.471619874,0,0,0.5674541,0,0,0.07405398,2.623106718,0,0,0,0
entailment,10.85865897,0,4.290219188,0,0,0,0,0,2.169941008,0,2.711118937,0,0,0,0,0
contradiction,13.29551882,2.050260514,3.479846623,0,8.8176063,0.914191246,0,0,6.767187804,0.428822696,4.91740286,0,0,0,0,0
entailment,77.14025292,8.537587732,12.28735977,0,4.548883259,4.893479824,0.517692208,0,14.11004341,0.517692208,2.873803377,0,0,0,0,0
entailment,15.21850348,0,0.192493699,0,0,0,0,0,0,0,0.048234075,0,0,0,0,0
entailment,22.74051112,0,3.796400309,0,0.89029634,0,0,0,5.436118126,0,3.309206843,0,0,0,0,0
contradiction,44.47188514,0.821005486,4.657262862,0,9.222054601,0.234088808,0.251611233,0,6.414039522,0.236147493,3.689111233,0,0,0,0,0
contradiction,10.02549046,3.387498468,0.244530063,0,2.817390203,4.148764133,0,0,2.615016997,0.800041437,0.246380165,0,0,0,0,0
contradiction,26.62606686,0,3.473062813,0,4.041419715,0,0.474289298,0,0,0,0,0,0,0,0,0
neutral,52.15038753,6.187339962,6.37338426,0,14.8255873,3.165869832,2.376714442,0,4.539750531,0,1.10980019,0,0,0,0,0
entailment,16.63069987,0,0.088841466,0,0.342725582,0,0,0,1.490953833,0,0.131027069,0,0,0,0,0
entailment,40.29569638,1.824385285,0.349015899,0,0,0,0,0,12.60590112,0.725521266,0.28411717,0,4.219415441,0,0.111560486,0
contradiction,27.15817729,4.457043618,5.878888655,0,1.770322055,0.124455571,0,0,3.289289087,0.240107358,1.846198514,0,0,0,0,0
entailment,22.73970474,5.044103444,1.675022572,1.896349713,1.963413194,5.424360275,1.283682525,0,3.28475894,1.199030578,3.380223632,0.200511023,0,0,0,0
entailment,11.29909587,0,0.6777592,0,5.716954827,0,0.512867689,0,0.560605079,0,1.437577486,0,0,0,0,0
contradiction,7.041407466,0,5.675516069,0,0,0,0,0,3.334945381,0,4.193496346,0,0,0,0,0
contradiction,7.767475545,0,0.946443044,0,0,0,0,0,3.030206919,0,1.595769029,0,0,0,0,0
contradiction,14.7579205,0,0.259965349,3.825311005,2.598276258,0,0.063817382,1.180739522,6.012136996,0,0.224597279,2.320721149,0,0,0,0
