CLASS,Who,Additional information,Where_sb,What_sb,NOUN_NOUN,NOUN_ADJ,NOUN_VERB,NOUN_ADV,ADJ_NOUN,ADJ_ADJ,ADJ_VERB,ADJ_ADV,VERB_NOUN,VERB_ADJ,VERB_VERB,VERB_ADV,ADV_NOUN,ADV_ADJ,ADV_VERB,ADV_ADV
entailment,1,1,0.30135560035705566,0.9789584875106812,2.521039165556431,0.42514636367559433,0.2145729437470436,0.6857775002717972,2.3352723196148872,1.0096252113580704,0.20096595585346222,0.9499395936727524,0,0,0.2759340703487396,0,0,0,0,0
neutral,-1,0,0.6977202892303467,0.4547792077064514,1.1048235595226288,0,0.23541782796382904,0,0,0,0,0,0.3875269293785095,0,0.2193230390548706,0.1781577616930008,0,0,0,0
entailment,1,1,1,0.8126060366630554,2.229902446269989,0,1.3031150996685028,0,1.143159806728363,0,0,0,0,0,0,0,0,0,0,0
contradiction,1,0,0.3045235872268677,0.6818981170654297,1.469542920589447,0,0.3171050250530243,0,0,0,0,0,0.25199031829833984,0,0.48705023527145386,0,0,0,0,0
entailment,1,1,1,1,2.870460957288742,0,0,0,0.8405067920684814,0,0,0,0.3276568055152893,0,0.941554457,0,0,0,0,0
entailment,1,0,0.562515378,0.7948890924453735,0.6500577926635742,0,0,0,0,0,0,0,0,0,0,0,0.542853832,0,0,0
neutral,1,0,0.9117668867111206,0.1151471957564354,2.370140314102173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral,1,1,0.5853879451751709,1,2.711340308189392,0.7799397259950638,0,0,0.741582066,0,0,0,0.7839753925800323,0,0,0,0,0,0,0
neutral,1,1,1,1,3.159315899014473,0.6297885179519653,1.1121285110712051,0,1.381330356001854,0.8744413107633591,0.8733799755573273,0,0.533413827,0,1.252766877412796,0,0,0,0,0
neutral,1,0,0.21580585837364197,0.2745797038078308,2.5712034553289413,0,0,0,0.4446091055870056,0,0,0,0,0,0,0,0,0,0,0
neutral,1,1,1,0.13587066531181335,1.5128965973854065,0,0,0,0.688256025,0,0,0,0,0,0,0,0,0,0,0
neutral,1,0,0.1800328493118286,0.45725369453430176,3.4967804849147797,0,0,0,0.9185552150011063,0,0,0,0.4748522490262985,0,0.7304510027170181,0,0,0,0,0
entailment,1,0,0.6195916533470154,0.1484781950712204,1.033163607120514,0,0,0.8965132981538773,0.8857341408729553,0,0,0,0,0,0,0,0,0,0,0
entailment,1,1,1,0.6592142581939697,3.0089570619165897,1.2598577588796616,0.8267765715718269,0,1.2314600870013237,1.1362757831811905,0.33767804503440857,0,0.8990017548203468,0.40173277258872986,0.37119871377944946,0,0.49266404658555984,0.12906275689601898,0.27255064249038696,0
contradiction,1,1,1,0.49733930826187134,1.4807635992765427,0,0.6341599971055984,0.5807963013648987,0,0,0,0,0.2680366337299347,0,0.4652828574180603,0.14273233711719513,0,0,0,0
entailment,1,0,1,0.9245389103889465,2.3039112091064453,0,0.16082584857940674,0,0,0,0,0,0.7747765779495239,0,1.4581123292446136,0,0,0,0.6391960382461548,0
entailment,-1,0,0.7179181575775146,0.27843254804611206,2.4989501237869263,0,0.47905999422073364,0,0,0,0,0,0.36443212628364563,0,0.4897625744342804,0,0,0,0,0
neutral,1,1,1,0.658915102,3.5278156399726868,0.2157299965620041,0,0,1.860664963722229,0.25783053040504456,0,0,0,0.5881682634353638,0,0,0,0,0,0
contradiction,1,1,1,0.11883864551782608,2.8435195088386536,0,0,0,0,0,0,0,0.5420981645584106,0,0,0,0,0,0,0
entailment,1,0,0.7988799214363098,0.6240819692611694,1.7889174818992615,0,0.7182317227125168,0,0.5531049966812134,0,0.2387741208076477,0,0.4396310895681381,0,1.5391476452350616,0,0,0,0,0
contradiction,1,0,1,0.047408588230609894,3.150318294763565,0,0.935640886,0,1.4588177502155304,0,0,0,0.6167266964912415,0,0.44541922211647034,0,0,0,0,0
contradiction,1,-1,1,0.3231995105743408,3.4231612905859947,0.2565244436264038,1.592644363641739,0,0.4635244160890579,0,0,0,1.1134471595287323,0,1.0665887594223022,0,0.5307490825653076,0.08478678,0.2662551701068878,0
contradiction,-1,1,0.24599118530750275,0.10528015345335007,2.1259799897670746,0.1152084618806839,0,0,0.7754224389791489,0.17640268802642822,0,0,0.4478730708360672,0,0.2048754245042801,0,0,0,0,0
neutral,1,1,1,0.21675527095794678,1.2609138637781143,0.4321698695421219,0,0,0.6273143291473389,0.5204379558563232,0,0,0.3055776059627533,0,0,0,0,0,0,0
entailment,1,1,1,0.397404283,1.093674659729004,0.9734762012958527,0,0,0,0.8103088140487671,0,0,0.28843921422958374,0,0.3367111086845398,0,0,0,0,0
entailment,1,0,0.47614341974258423,1.0000001192092896,0.793027937,0,0,0,0.5183136463165283,0,0.31541547179222107,0.6596341133117676,0,0,0.6919044852256775,0,0,0,0,0
entailment,1,1,1.0000001192092896,0.9999999403953552,1.2347257137298584,0,0.9524140655994415,0,0,0,0,0,0.29147137701511383,0,0.5982074737548828,0,0,0,0,0
entailment,1,1,0.4985198676586151,0.8870168924331665,0.8772200345993042,0,0,0.6816143989562988,0.6774098873138428,0,0,0.6433379650115967,0,0,0.7044556140899658,0.18786002695560455,0,0,0,0
contradiction,1,1,1,0.419082373,2.779808282852173,0,0,0,0,0,0,0,0.5086721777915955,0,0.43371352553367615,0,0,0,0,0
neutral,-1,0.7831940144478844,0.2401084303855896,0.3911822736263275,1.977278232574463,0.30796349,0.957063839,0,0,0.26652956008911133,0,0,1.039643019,0.1361517757177353,1.0820258110761642,0,0.3668206185102463,0,0.3849859982728958,0
entailment,1,0,1,0.4754694700241089,0.8872785419225693,0,2.8690473437309265,0,0.5671600103378296,0,0,0,0,0,0.7024565935134888,0,0,0,0,0
entailment,1,1,0.44577038288116455,0.22534281015396118,1.514505148,0,0,1.512522280216217,0,0,0,0,0,0,0,0.8568219244480133,0,0,0,0
entailment,1,0,0.29460975527763367,0.6106952428817749,1.712647557258606,0,0.7641266584396362,0,0,0,0,0,0.326286256,0,0.5435466766357422,0,0,0,0,0
contradiction,-1,0,0.281877339,0.2876601219177246,1.4568105340003967,0.19163642823696136,0.4793318063020706,0,1.0654035657644272,0,0,0,0.8523503839969635,0,0.9106180667877197,0,0,0,0,0
entailment,1,1,1,0.1202089935541153,5.062539763748646,0.46369171142578125,0.6546925529837608,0,0.30971044301986694,0.4429634213447571,0,0,1.1432671919465065,0,0.1832173764705658,0,0,0,0,0
entailment,1,0,1.0000001192092896,0.19690990447998047,2.6311062425374985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
entailment,1,1,1,0.3484731912612915,3.0156247466802597,0,0.25589505583047867,0,0,0,0,0,0.9887803792953491,0,0.7496418654918671,0,0,0,0,0
contradiction,-1,1,0.4867148697376251,0.15730082988739014,3.9457777217030525,0,0.3706328719854355,0,0.6848786473274231,0,0,0,0.4075166583061218,0,0.6244677901268005,0,0,0,0,0
contradiction,1,0,1,0.685753345,1.8700583577156067,0.34916338324546814,0,0,0.38847577571868896,0.5720522403717041,0,0,0.5350172519683838,0,0,0,0,0,0,0
contradiction,1,1,0.36119621992111206,0.20769143104553223,2.7714550644159317,0,0.36285607516765594,0,1.0640940070152283,0,0,0,0,0,0,0,0,0,0,0
neutral,1,0,1,0.33321964740753174,3.7135192528367043,0.3403037413954735,0.3867391347885132,0,1.0596406012773514,0.2669965550303459,0,0,0.5506912618875504,0,0,0,0,0,0,0
entailment,1,1,1,0.099991269,2.789908319711685,0,0,0,0,0,0,0,0.6501243114471436,0,0,0,0,0,0,0
entailment,-1,0.75,0.30552706122398376,0.305073082,3.661216102540493,0,0,0,0,0,0,0,1.132733017206192,0,0,0,0.48539362847805023,0,0,0
contradiction,-1,1,0.19188621640205383,0.1299220621585846,3.0243733301758766,0.3548477441072464,0.6914831846952438,0,0,0,0,0,0.32102295756340027,0,0.3009345531463623,0,0,0,0,0
entailment,1,0.9444444444444444,1,0.7478418946266174,2.8846893459558487,0.5712265074253082,0,0,0,1.2330965399742126,0,0,0.24777312576770782,0.23520904779434204,0.6948062777519226,0,0,0,0,0
entailment,1,0,1,0.8302839994430542,1.8872733116149902,0,0,0,0.9176753461360931,0,0,0,0,0,0.7194425463676453,0,0,0,0,0
contradiction,1,0,1,0.086890094,1.3171288967132568,0,0.9655881822109222,0,0,0,0,0,0.28111976385116577,0,1.045653223991394,0,0,0,0,0
contradiction,1,0,1,0.357685387,1.533278450369835,0,0,0,0,0,0,0,0.525473416,0,0.32005760073661804,0,0,0,0,0
contradiction,1,1,1,0.008623317,2.4658675342798233,0,0,0.2957715094089508,0.5945620834827423,0,0,0.27018797397613525,1.5229631066322327,0,0,0.3137066066265106,0,0,0,0
