CLASS,Who,Additional information,Where_sb,What_sb,SUB,VERB,OBJ,CLASS,,,,,,,,,,,,
entailment,1,0,0.5905424356460571,0.1972610354423523,0.330408305,0.196054518,0.428504556,entailment,True,,,,,,,,,,,
neutral,1,0,1,0.21837930381298065,0.168115735,0.521541357,1.000000119,neutral,True,,,,,,,,,,,
neutral,1,1,1,0.21174994111061096,0.492691278,0.232365325,1.000000119,neutral,True,,,,,,,,,,,
entailment,1,1,1,0.8149127960205078,1.000000119,0.194312513,0.353276461,entailment,True,,,,,,,,,,,
neutral,1,1,1,0.3181416988372803,0.484901011,0.050868221,0.300844282,neutral,True,,,,,,,,,,,
neutral,1,0,0.7130820751190186,0.085707836,0.100375988,0.351612747,0.378862739,neutral,True,,,,,,,,,,,
contradiction,1,0,1,0.081976958,0.427832425,0.189578339,0.328163296,contradiction,True,,,,,,,,,,,
neutral,1,0,0.11208832263946533,0.033658151,0.364878058,0.172023624,0.573934913,,False,,,,,,,,,,,
entailment,1,1,1,0.1990121304988861,0.634788215,0.662202477,0.074420273,entailment,True,,,,,,,,,,,
neutral,1,0,1,0.4582550823688507,0.169412091,0.253689498,1.000000119,neutral,True,,,,,,,,,,,
neutral,1,1,1,0.6663662195205688,0.501192331,0.077052802,0.797157168,neutral,True,,,,,,,,,,,
entailment,1,1,1,0.9207088947296143,0.266058087,0.751259625,0.29646042,entailment,True,,,,,,,,,,,
contradiction,1,0.5,0.10487721115350723,0.046445123851299286,0.654912412,0.216687143,0.276248276,contradiction,True,,,,,,,,,,,
neutral,-1,0,0.094227634,0.8058227300643921,0.253495127,0.248390332,1.000000119,neutral,True,,,,,,,,,,,
entailment,1,0,1,0.8667292594909668,0.293410212,0.257247299,0.175083622,entailment,True,,,,,,,,,,,
entailment,1,1,0.30135560035705566,0.9789584875106812,1,0.913226783,0.242882654,entailment,True,,,,,,,,,,,
neutral,-1,0,0.6977202892303467,0.4547792077064514,0.43894136,0.687921762,0.243285835,neutral,True,,,,,,,,,,,
entailment,1,1,1,0.8126060366630554,0.127069995,0.436220378,1.000000119,entailment,True,,,,,,,,,,,
contradiction,1,0,0.3045235872268677,0.6818981170654297,0.560641527,0.213467494,0.278002918,contradiction,True,,,,,,,,,,,
entailment,1,1,1,1,0.511471033,0.190482736,1.000000119,entailment,True,,,,,,,,,,,
entailment,1,0,0.562515378,0.7948890924453735,0.558975577,0.476133227,1.000000119,entailment,True,,,,,,,,,,,
neutral,1,0,0.9117668867111206,0.1151471957564354,0.290808409,0.154542863,0.280813694,neutral,True,,,,,,,,,,,
neutral,1,1,0.5853879451751709,1,0.536778629,0.226689756,0.207379937,neutral,True,,,,,,,,,,,
neutral,1,1,1,1,0.57978934,0.180982679,0.296914756,neutral,True,,,,,,,,,,,
neutral,1,0,0.21580585837364197,0.2745797038078308,0.557995677,0.289282471,0.12167833,neutral,True,,,,,,,,,,,
neutral,1,1,1,0.13587066531181335,0.890762031,0.080901116,0.3720586,neutral,True,,,,,,,,,,,
neutral,1,0,0.1800328493118286,0.45725369453430176,0.438203573,0.690260828,1,,False,,,,,,,,,,,
entailment,1,0,0.6195916533470154,0.1484781950712204,0.236056566,0.445281118,0.258906454,entailment,True,,,,,,,,,,,
entailment,1,1,1,0.6592142581939697,0.129890993,0.16852656,0.22159341,entailment,True,,,,,,,,,,,
contradiction,1,1,1,0.49733930826187134,0.823146224,0.43121016,0.18000336,contradiction,True,,,,,,,,,,,
entailment,1,0,1,0.9245389103889465,0.171940804,0.131075025,0.152181566,entailment,True,,,,,,,,,,,
entailment,-1,0,0.7179181575775146,0.27843254804611206,0.612292945,0.435799301,0.207746774,entailment,True,,,,,,,,,,,
neutral,1,1,1,0.658915102,0.207108527,0.304125845,0.122406781,,False,,,,,,,,,,,
contradiction,1,1,1,0.11883864551782608,0.211957097,0.189526424,0.085509822,contradiction,True,,,,,,,,,,,
entailment,1,0,0.7988799214363098,0.6240819692611694,0.843880534,0.213349521,0.334067792,entailment,True,,,,,,,,,,,
contradiction,1,0,1,0.047408588230609894,0.478643745,1.000000238,1.000000119,contradiction,True,,,,,,,,,,,
contradiction,1,-1,1,0.3231995105743408,0.339750707,0.773839355,1.000000119,contradiction,True,,,,,,,,,,,
contradiction,-1,1,0.24599118530750275,0.10528015345335007,0.266382456,0.65339762,1.000000119,contradiction,True,,,,,,,,,,,
neutral,1,1,1,0.21675527095794678,0.49949497,0.370600641,0.299327433,neutral,True,,,,,,,,,,,
entailment,1,1,1,0.397404283,0.293280333,0.009246964,0.300932676,entailment,True,,,,,,,,,,,
entailment,1,0,0.47614341974258423,1.0000001192092896,0.209655672,0.56861043,0.247650146,entailment,True,,,,,,,,,,,
entailment,1,1,1.0000001192092896,0.9999999403953552,0.304140329,0.22534281,0.35130018,entailment,True,,,,,,,,,,,
entailment,1,1,0.4985198676586151,0.8870168924331665,0.527926445,0.294609725,0.611625493,entailment,True,,,,,,,,,,,
contradiction,1,1,1,0.419082373,0.448916703,0.285440207,0.178588688,contradiction,True,,,,,,,,,,,
neutral,-1,0.7831940144478844,0.2401084303855896,0.3911822736263275,0.99999994,0.026800517,0.125313491,neutral,True,,,,,,,,,,,
entailment,1,0,1,0.4754694700241089,0.440137148,1.000000238,1.000000119,entailment,True,,,,,,,,,,,
entailment,1,1,0.44577038288116455,0.22534281015396118,0.765013695,0.377342761,1.000000119,entailment,True,,,,,,,,,,,
entailment,1,0,0.29460975527763367,0.6106952428817749,0.364024073,0.04761336,0.267208815,entailment,True,,,,,,,,,,,
contradiction,-1,0,0.281877339,0.2876601219177246,0.251484483,0.115241438,0.405002773,contradiction,True,,,,,,,,,,,
entailment,1,1,1,0.1202089935541153,0.486770391,0.164813653,0.33745414,entailment,True,,,,,,,,,,,
entailment,1,0,1.0000001192092896,0.19690990447998047,0.53223902,0.529488385,0.317864031,entailment,True,,,,,,,,,,,
entailment,1,1,1,0.3484731912612915,0.356497467,0.336186409,1.000000119,entailment,True,,,,,,,,,,,
contradiction,-1,1,0.4867148697376251,0.15730082988739014,0.675400734,0.305073082,1.000000119,contradiction,True,,,,,,,,,,,
contradiction,1,0,1,0.685753345,0.205408722,0.26372835,0.128132641,contradiction,True,,,,,,,,,,,
contradiction,1,1,0.36119621992111206,0.20769143104553223,0.563681901,0.747841716,1.000000119,contradiction,True,,,,,,,,,,,
neutral,1,0,1,0.33321964740753174,0.380954862,0.393836856,0.525837183,neutral,True,,,,,,,,,,,
entailment,1,1,1,0.099991269,0.090585366,0.250336468,0.271201104,entailment,True,,,,,,,,,,,
entailment,-1,0.75,0.30552706122398376,0.305073082,0.643971682,0.577761114,0.214616328,entailment,True,,,,,,,,,,,
contradiction,-1,1,0.19188621640205383,0.1299220621585846,0.287226826,0.046402913,0.119280897,contradiction,True,,,,,,,,,,,
entailment,1,0.9444444444444444,1,0.7478418946266174,,,,entailment,True,,,,,,,,,,,
entailment,1,0,1,0.8302839994430542,,,,entailment,True,,,,,,,,,,,
contradiction,1,0,1,0.086890094,,,,contradiction,True,,,,,,,,,,,
contradiction,1,0,1,0.357685387,,,,contradiction,True,,,,,,,,,,,
contradiction,1,1,1,0.008623317,,,,contradiction,True,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
