CLASS,NOUN_NOUN,NOUN_ADJ,NOUN_VERB,NOUN_ADV,ADJ_NOUN,ADJ_ADJ,ADJ_VERB,ADJ_ADV,VERB_NOUN,VERB_ADJ,VERB_VERB,VERB_ADV,ADV_NOUN,ADV_ADJ,ADV_VERB,ADV_ADV,NOUN_NOUN_,NOUN_ADJ_,NOUN_VERB_,NOUN_ADV_,ADJ_NOUN_,ADJ_ADJ_,ADJ_VERB_,ADJ_ADV_,VERB_NOUN_,VERB_ADJ_,VERB_VERB_,VERB_ADV_,ADV_NOUN_,ADV_ADJ_,ADV_VERB_,ADV_ADV_,Who,Where,When,What,Why,How,Additional information
neutral,42.67967105,10.71860194,7.310570419,0,6.793533742,4.289357126,0,0,8.776406765,0,8.926045179,0,0,0,0,0,26,6,10,0,5,4,0,0,4,0,4,0,0,0,0,0,0.441087157,0.280944139,0.198510811,0.144281596,0.175535649,0.149188131,0.541860282
neutral,17.14296901,0,0.118338414,0,0,0,0,0,6.512294859,0,0.34408465,0,0,0,0,0,7,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0.919903159,0.946713328,1,0.152387813,1,1,1
entailment,14.95871943,0,5.631591067,0,4.724561334,0,8.336549405,0,1.580473125,0,6.454370439,0,0,0,0,0,8,0,5,0,6,0,8,0,2,0,4,0,0,0,0,0,1.000000119,1,1,0.632754982,1,1,0.144497246
contradiction,8.93951416,0,1.103832122,0,0,0,0,0,4.515946627,0,0.68328052,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0.560035765,1,0.287569821,1,1,1
contradiction,10.79939425,1.798086047,0,0,4.098395407,5.320104241,0,0,2.553468943,1.305927277,2.280354857,0,2.133262634,0,1.666535735,0,4,1,0,0,3,2,0,0,2,1,2,0,1,0,1,0,0.621085167,1,1,0.789108396,1,1,1
entailment,41.99854511,0,9.322422046,0,21.08111709,0,0,0,8.035232008,0,11.71219959,0,0,0,0,0,21,0,13,0,15,0,0,0,5,0,10,0,0,0,0,0,0.69078064,1,1,0.74919486,0.270817041,1,1
entailment,13.01753557,0,3.408557773,0,3.383013844,0,1.225270987,0,1.471449375,0,1.618172526,0,0,0,0,0,6,0,3,0,2,0,1,0,1,0,1,0,0,0,0,0,1.000000119,0.14464353,1,1,1,1,1
entailment,23.35634404,0,7.65256688,0,9.733055949,0,1.374748236,0,1.385392666,0,1.157627583,0,0,0,0,0,15,0,12,0,7,0,3,0,1,0,2,0,0,0,0,0,0.838774443,1,1,0.600825906,1,1,1
neutral,7.393922687,1.311740458,3.661830217,0,1.950165629,0.203375548,1.58180815,0,0,0,0.83100516,0,0,0,0,0,2,2,4,0,1,1,2,0,0,0,2,0,0,0,0,0,0.896134853,1,1,0.236791462,1,1,1
contradiction,15.10370028,0,0.349290103,2.921662658,0,0,0,0,0.92756331,0,0.16058138,0.910371065,0,0,0,0,6,0,4,4,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0.437635958,1,1,1
entailment,9.65046978,0,1.913183104,0,4.930725098,0,2.616278347,0,1.875636935,0,2.6195434,0,0,0,0,0,2,0,2,0,2,0,2,0,1,0,4,0,0,0,0,0,0.510677397,1,1,0.798272252,1,1,1
neutral,22.3008875,13.34966022,0.207020953,0,8.016600728,13.72132206,0.05403072,0,1.925072849,1.211104035,0.229760975,0,2.911159158,2.74772042,0.094999462,0,15,10,3,0,5,3,1,0,3,1,1,0,3,3,1,0,0.614284277,1,1,0.235290825,1,1,1
entailment,5.683318019,0,2.365045786,0,1.459502161,0,0,0,1.749497175,0,2.13054347,0,0,0,0,0,3,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0.794848382,1,1,0.379285604,1,1,1
entailment,23.91976941,0,3.255799733,0,1.849509716,0,0,0,2.824988008,0,2.138986692,0,0,0,0,0,9,0,5,0,1,0,0,0,2,0,2,0,0,0,0,0,1,0.99999994,1,0.032397136,1,0.249116004,1
entailment,16.19286436,0,0,0,0,0,0,0,0.44079411,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.499030232,0.217870772,1,1,1,1,1
neutral,5.745136619,0,1.2290635,0,0.592243016,0,0,0,1.662864387,0,0.437939126,0,0,0,0,0,4,0,5,0,1,0,0,0,2,0,4,0,0,0,0,0,0.712086201,1,1,0.216052562,1,1,1
neutral,10.17826688,0.664561272,2.390912771,0,0.941607118,4.92542696,1.161370158,0,0,0.409675688,3.074267149,0,0,0,0,0,4,3,2,0,1,1,1,0,0,2,1,0,0,0,0,0,0.891482949,1,1,0.226338357,1,1,1
contradiction,2.793856382,0,0.161343627,6.646410614,1.708918691,0,0,0.363555491,0,0,0.048234075,1.915053397,0,0,0.243927516,8.573846519,1,0,3,7,1,0,0,1,0,0,1,3,0,0,2,6,0.456863344,1,1,0.696470499,1,1,1
contradiction,42.42542228,0,5.794116795,0,11.5714488,0,0.849763989,0,0.822300076,0,1.3247087,0,0,0,0,0,19,0,4,0,6,0,1,0,1,0,1,0,0,0,0,0,0.184032828,0.350474,1,0.534324884,1,1,1
entailment,0.916115046,0,1.182782233,1.256860018,0,0,0,0,3.418924093,0,1.724339671,0.683814645,0,0,0,0,1,0,3,2,0,0,0,0,1,0,2,1,0,0,0,0,1,1,1,0.911033511,1,1,0.277109534
contradiction,12.00834796,0,4.113007605,4.100246131,7.957901716,0,2.085449755,2.625078321,3.00832653,0,4.769130707,4.446508408,0,0,0,0,8,0,3,3,4,0,2,2,4,0,2,2,0,0,0,0,0.795819223,0.222221226,0.187566116,0.089148872,-0.009505197,0.187566116,0.187566116
neutral,30.2036798,10.84689897,0,0,13.84092379,6.846113324,0.669431627,0,7.690367699,2.483606219,15.65376735,2.426468968,12.70213723,3.877053022,15.16200107,5.569540143,12,8,0,0,8,6,1,0,4,3,8,2,7,5,9,3,0.59403652,1,1,0.303150147,1,1,1
entailment,21.43764234,0,0.1001874,0,0,0,0,0,0,0,0.04592805,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0.790394664,0.590542436,1,1,1,1,1
neutral,13.96295166,0,2.060739893,0,0,0,0,0,1.759820461,0,3.562965631,0,0,0,0,0,5,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0.604166031,0.250795364,0.187566116,0.218379304,0.187566116,0.026424706,0.187566116
neutral,39.76840472,17.72120893,0.530864242,0,15.15172315,18.08602303,0,0,0,0,0.099258468,0,0,0,0,0,22,14,7,0,7,8,0,0,0,0,1,0,0,0,0,0,0.522790551,1,1,0.34621489,1,1,1
entailment,21.34322321,6.767433912,6.976303808,0,7.125284731,1.248060942,2.088582546,0,4.680986285,0.705320001,4.511335954,0,0,0,0,0,10,6,6,0,6,2,3,0,2,1,3,0,0,0,0,0,0.880472302,0.254312247,0.187566116,0.814912796,0.187566116,0.187566116,0.278596938
neutral,3.174343824,3.743475914,3.694284916,0,0,0,0,0,0,1.900393248,1.432791911,0,0,0,0,0,1,3,7,0,0,0,0,0,0,1,3,0,0,0,0,0,0.898702323,1,1,0.229492247,1,1,1
neutral,9.323485017,1.472055674,0.472450405,0,2.597147822,5.888175488,0.068251029,0,0.535690844,0,1.344281361,0,0,0,0,0,3,1,1,0,2,1,1,0,1,0,2,0,0,0,0,0,0.981593311,0.713082075,1,0.085707836,1,1,1
contradiction,13.11590505,3.757939816,0.114256326,2.563888252,0,0,0,0,2.472211123,1.275279403,0.103237253,0.801176786,0,0,0,0,4,2,2,3,0,0,0,0,2,1,2,1,0,0,0,0,0.829604089,1,1,0.081976958,1,1,1
neutral,21.64713264,0,1.546209674,0,11.33879822,0,1.86946474,0,1.303935409,0,3.570728034,0,0,0,0,0,10,0,4,0,10,0,4,0,1,0,4,0,0,0,0,0,0.251621306,0.112088323,1,0.033658151,1,1,1
entailment,9.803739667,0,3.405096918,8.491863012,3.704441786,0,2.2484366,5.941913605,4.087591529,0,2.051405758,7.196821451,0,0,0,0,7,0,7,3,2,0,3,1,3,0,4,2,0,0,0,0,0.426505595,1,1,0.19901213,1,1,1
neutral,14.82641175,0,6.083188057,1.312658429,0,0,0,0.107202262,1.153428853,0,0.780040979,0,0,0,0,0,12,0,4,4,0,0,0,1,2,0,1,0,0,0,0,0,1.000000119,0.358085275,0.187566116,0.458255082,0.154802233,0.23098141,0.187566116
neutral,36.65304178,7.512885809,3.490301371,0,13.40874332,4.018395722,2.06787017,0,2.837829649,0.865061462,1.856212437,0,0,0,0,0,20,7,4,0,12,3,3,0,3,1,2,0,0,0,0,0,1.000000119,1,1,0.66636622,-0.004531978,1,1
entailment,8.904246807,0,3.692372046,0,1.679934621,0,1.055787563,0,2.043959379,0,3.825918123,0,0,0,0,0,2,0,3,0,1,0,2,0,1,0,6,0,0,0,0,0,1,1,1,0.824008465,1,0.920708895,1
contradiction,21.00647834,5.360322863,0.251355007,0,3.972278625,0.569156647,0,0,6.800925314,2.978227794,0.207346167,0,2.683129787,1.562180519,0.05020716,0,14,5,4,0,4,1,0,0,7,3,3,0,3,2,1,0,0.39701128,0.104877211,1,1,1,1,-0.013458885
neutral,13.2326467,6.423337042,0,0,0,0,0,0,1.483778834,1.665324539,0,0,0.943289697,0.948842451,0,0,10,6,0,0,0,0,0,0,3,3,0,0,2,2,0,0,0.802969694,0.094227634,0.281859964,0.80582273,0.623522401,0.272502393,0.007665038
entailment,21.42411751,0,9.022100151,0,0,0,0,0,3.418154538,0,3.448587418,0,0,0,0,0,11,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,1.000000238,1,1,0.866729259,1,1,1
entailment,26.97085929,5.095214725,11.16788677,8.148936749,28.31578308,11.13060272,3.825154141,9.572460413,0,0,3.02572529,0,0,0,0,0,13,4,17,4,16,5,7,4,0,0,4,0,0,0,0,0,0.543766022,0.3013556,1,0.978958488,1,1,1
neutral,9.095428228,0,1.72969532,0.8083857,0,0,0,0,3.661821604,0,1.705955863,1.385760784,0,0,0,0,7,0,2,2,0,0,0,0,2,0,1,1,0,0,0,0,0.483939022,0.697720289,1,0.454779208,1,1,1
entailment,14.11329463,0,5.03258121,0,2.405853629,0,1.047748655,0,0,0,0,0,0,0,0,0,9,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0.535281599,1,1,0.812606037,1,1,1
contradiction,9.095212936,0,1.797260284,0,0,0,0,0,2.609950662,0,3.409422398,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1.000000119,0.213147908,1,0.642328143,1,1,1
entailment,16.17161947,0,0.757248104,0,3.067456365,0,0.970261395,0,3.029425204,0,4.115218759,0,0,0,0,0,7,0,1,0,2,0,1,0,3,0,2,0,0,0,0,0,0.570419133,1,1,1,1,1,1
entailment,2.569202155,0,0,0,0,0,0,0,0,0,0,0,1.02624023,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1
neutral,22.90815413,0,1.638712965,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60051012,0.911766887,1,0.115147196,1,1,1
neutral,16.05958247,5.882865787,0.242161434,0,3.161260009,0.734306872,0.070554048,0,3.360246658,0.614980102,0.129135683,0,0,0,0,0,8,5,3,0,2,1,1,0,2,1,1,0,0,0,0,0,1,0.585387945,1,1,1,1,1
neutral,25.47968066,7.434171885,9.024674997,0,14.09508419,7.697841406,6.680815764,0,7.699264526,0,11.53374241,0,0,0,0,0,15,7,11,0,12,5,10,0,8,0,9,0,0,0,0,0,1,1,1,1,1,1,1
neutral,14.74482191,0,0.052005947,0,2.135384262,0,0,0,1.290779412,0,0.087536603,0,0,0,0,0,9,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,1.000000119,0.215805858,1,0.274579704,1,1,1
neutral,8.801247299,0,0.082205065,0,1.957842529,0,0.036004875,0,0.590999484,0,0.152466699,0,0,0,0,0,6,0,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0.898702323,1,1,0.135870665,1,1,1
neutral,43.23161721,0,2.03638396,0,5.458065152,0,0,0,5.960197031,0,5.645737603,0,0,0,0,0,22,0,5,0,4,0,0,0,6,0,8,0,0,0,0,0,0.597116053,0.180032849,1,0.457253695,1,1,1
entailment,6.032000065,0,0.224670202,4.296280622,1.133391142,0,0.043559205,0.929308534,0,0,0.117971398,0,0,0,0,0,2,0,2,2,1,0,1,1,0,0,1,0,0,0,0,0,1,0.619591653,1,0.339780152,1,1,1
entailment,52.83259937,19.69506806,17.34526193,0,35.69734669,20.09413594,7.439960718,0,15.765782,5.915598661,6.456136286,0,13.14244616,4.151886046,7.270638466,0,36,13,17,0,24,9,4,0,12,4,5,0,6,2,2,0,0.678285122,1,1,0.659214258,1,0.107218891,0.564656496
contradiction,14.43679464,0,7.923448466,5.92971015,0,0,0,0,2.555283785,0,4.435698509,1.360715508,0,0,0,0,5,0,6,3,0,0,0,0,1,0,2,1,0,0,0,0,0.932740331,1,1,0.497339308,1,1,1
entailment,10.38186514,0,1.278927833,0,0,0,0,0,4.531286895,0,5.865076721,0,0,0,1.199165344,0,3,0,4,0,0,0,0,0,4,0,5,0,0,0,1,0,0.794848382,1,1,0.92453891,1,1,1
entailment,16.03540665,0,4.629743442,0,0,0,0,0,1.23376298,0,1.878832698,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0.440490514,0.717918158,0.535778821,0.330494404,1,1,1
neutral,15.31088781,3.025888473,0,0,6.009180605,2.008330464,0,0,0,1.206772804,0,0,0,0,0,0,9,4,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0.477614671,1,1,0.658915102,1,1,1
contradiction,11.5278469,0,2.755125709,0,0.799657702,0,0.325499028,0,2.302979708,0,0.919661522,0,0,0,0,0,8,0,9,0,1,0,1,0,3,0,4,0,0,0,0,0,0.264848977,1,1,0.118838646,1,1,1
entailment,11.26911306,0,2.572870374,0,3.261684895,0,1.408061624,0,2.438219666,0,8.11466527,0,0,0,0,0,4,0,2,0,1,0,1,0,2,0,3,0,0,0,0,0,0.874268591,0.798879921,1,0.624081969,1,1,1
contradiction,13.98703957,0,6.641712215,0,4.646705836,0,0.768334091,0,3.642895281,0,2.45310444,0,0,0,0,0,10,0,12,0,5,0,2,0,4,0,4,0,0,0,0,0,0.093085483,1,1,0.047408588,1,1,1
contradiction,40.24036127,4.22901547,19.0759151,0,2.611801624,0,0,0,20.9759568,1.898717761,16.91580558,0,6.739753008,1.076670647,3.381059289,0,18,4,11,0,2,0,0,0,11,3,6,0,4,1,2,0,0.474191219,1,1,0.323199511,1,1,0.149146646
contradiction,17.96107817,1.762332618,1.358492315,0,10.63705087,2.419847965,0,0,3.448317736,0.733420551,1.462522149,0,0,0,0,0,9,2,2,0,3,1,0,0,3,1,1,0,0,0,0,0,0.554995179,0.245991185,1,1,1,1,0.079370633
neutral,10.76998079,2.603472352,0.255362682,3.684048146,7.325028658,7.617791593,0.043559205,1.515150487,3.662405014,0,0.281004839,3.671606272,0,0,0,0,8,2,5,9,6,3,1,4,4,0,4,7,0,0,0,0,0.4880687,1,1,0.216755271,1,1,1
entailment,7.489348173,5.692047924,0.989912353,0,0.369058907,5.27744627,0.481954694,0,2.090052366,1.214809597,2.699507445,0,0,0,0,0,5,5,4,0,1,1,1,0,2,2,4,0,0,0,0,0,1.000000119,1,1,0.190769613,1,1,0.763895631
entailment,4.569198608,0,0.046891581,0.941764534,1.654568911,0,1.924634993,3.000190973,0,0,4.597817823,0.978277087,0,0,0,0,1,0,1,1,1,0,2,1,0,0,3,1,0,0,0,0,0.767246425,0.47614342,1,1.000000119,1,1,1
entailment,9.177741528,0,1.855802093,0,0,0,0,0,3.070559502,0,6.496876404,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0.556892693,1.000000119,1,0.99999994,1,1,1
entailment,5.246281624,0,0.734551381,2.390834808,1.885831237,0,1.027528558,3.000190973,0,0,4.009821534,1.024792194,0,0,0,0,2,0,2,1,1,0,2,1,0,0,2,1,0,0,0,0,0.745622694,0.498519868,1,0.887016892,1,1,1
contradiction,15.62429976,0,1.177817637,0,0,0,0,0,1.587183356,0,1.496115375,0,0,0,0,0,7,0,5,0,0,0,0,0,1,0,3,0,0,0,0,0,0.943345785,1,1,0.419082373,1,1,1
neutral,14.18298978,4.2081168,11.91144305,0,0.709180653,1.62930581,0.792992711,0,7.74868238,1.184598207,9.286975771,0,2.558166146,0.504052877,2.796410106,0,9,5,17,0,1,2,1,0,5,1,8,0,2,1,3,0,0.336086452,0.24010843,0.189548239,0.391182274,0.180097729,0.187454835,0.402332246
entailment,9.287218302,0,9.352385178,0,2.382307947,0,0,0,1.450792789,0,4.18319422,0,0,0,0,0,9,0,10,0,2,0,0,0,2,0,3,0,0,0,0,0,1.000000119,1,1,0.47546947,1,1,1
entailment,6.061700761,0,0.049282771,8.365440428,0,0,0,0,0,0,0.07405398,2.623106718,0,0,0,0,3,0,1,7,0,0,0,0,0,0,1,2,0,0,0,0,0.621283174,0.445770383,1,1,1,1,1
entailment,9.715128183,0,3.817402124,0,0,0,0,0,1.627460718,0,2.711118937,0,0,0,0,0,4,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1.000000119,0.294609755,1,0.610695243,1,1,1
contradiction,11.79870641,1.658103824,3.431404777,0,7.630693555,0.55500555,0,0,5.072254181,0,4.91740286,0,0,0,0,0,6,1,3,0,4,1,0,0,3,0,6,0,0,0,0,0,0.277931154,0.281877339,1,0.237882435,1,1,1
entailment,72.2581895,7.042562723,10.91719043,0,3.421415329,4.893479824,0,0,9.239633083,0,2.187359333,0,0,0,0,0,31,5,6,0,2,1,0,0,5,0,1,0,0,0,0,0,1.000000238,1,1,0.120208994,1,0.153453737,1
entailment,15.21850348,0,0.192493699,0,0,0,0,0,0,0,0.048234075,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.000000119,1,0.196909904,1,1,1
entailment,20.91776919,0,3.796400309,0,0,0,0,0,3.202047229,0,3.309206843,0,0,0,0,0,6,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,1.000000119,1,1,0.220650464,1,1,1
contradiction,41.46580368,0.821005486,3.986539006,0,7.230562449,0.234088808,0,0,3.958243549,0.236147493,3.689111233,0,0,0,0,0,18,5,4,0,4,2,0,0,3,2,2,0,0,0,0,0,1,1,1,1,1,1,1
contradiction,9.575754702,2.597363234,0.149931654,0,2.817390203,4.148764133,0,0,1.401688218,0,0.196327895,0,0,0,0,0,4,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0.794848382,1,1,0.685753345,1,1,1
contradiction,24.25188005,0,3.473062813,0,2.394277096,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0.713851988,0.36119622,1,0.207691431,1,1,1
neutral,49.61070389,5.924449921,5.977767363,0,11.90401962,3.165869832,2.022356484,0,3.35244453,0,1.10980019,0,0,0,0,0,26,6,8,0,9,3,4,0,2,0,2,0,0,0,0,0,0.825397849,1,1,0.177375466,0.720716715,0.177531332,1
entailment,14.74689007,0,0.049282771,0,0,0,0,0,0,0,0.131027069,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0.756717443,1,1,0.099991269,1,1,1
entailment,37.4555077,1.722783178,0.239516355,0,0,0,0,0,11.9956091,0.725521266,0.28411717,0,2.37887837,0,0.111560486,0,20,4,2,0,0,0,0,0,9,2,2,0,3,0,1,0,0.474196494,0.305527061,1,1,1,1,0.107046351
contradiction,25.01056665,4.088348895,5.259106472,0,0.754145741,0,0,0,3.100056827,0,1.846198514,0,0,0,0,0,19,4,9,0,1,0,0,0,3,0,2,0,0,0,0,0,0.457839966,0.191886216,0.187566116,0.129922062,0.187566116,0.160975963,0.265494049
entailment,22.53167319,4.194770694,1.396517754,1.896349713,0,5.424360275,1.283682525,0,3.104923546,1.004279733,3.380223632,0.137518555,0,0,0,0,16,3,3,6,0,2,2,0,4,1,2,1,0,0,0,0,0.706642866,0.210285664,1,0.57039237,1,1,1
entailment,11.29909587,0,0.397503614,0,5.716954827,0,0.512867689,0,0,0,1.437577486,0,0,0,0,0,4,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0.894955635,1,1,0.830283999,1,1,1
contradiction,6.672148019,0,5.138862729,0,0,0,0,0,3.334945381,0,4.193496346,0,0,0,0,0,5,0,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0.072304986,1,1,0.086890094,1,1,1
contradiction,7.110449791,0,0.658880703,0,0,0,0,0,2.450452089,0,1.595769029,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0.655674338,1,1,0.357685387,1,1,1
contradiction,13.31903434,0,0.192193538,3.825311005,2.598276258,0,0.063817382,1.180739522,5.300272107,0,0.224597279,1.922428012,0,0,0,0,7,0,3,5,2,0,1,1,5,0,2,2,0,0,0,0,0.615320921,1,1,0.030109556,1,1,1
