Who,Where,When,What,Why,How,Additional information,Who,Where,When,What,Why,How,Additional information,CLASS
0.543766021728516,0.301355600357056,1,0.978958487510681,1,1,1,1,0,0,1,0,0,0.5,entailment
0.48393902182579,0.697720289230347,1,0.454779207706451,1,1,1,0.941176470588235,1,0,0.588235294117647,0,0,0,neutral
0.535281598567963,1,1,0.812606036663055,1,1,1,0.8,0,0,1,0,0,0,entailment
1.00000011920929,0.213147908449173,1,0.642328143,1,1,1,1,0,0,1,0,0,0,contradiction
0.570419132709503,1,1,1,1,1,1,1,0,0,1,0,0,0,entailment
1,1,1,1,1,1,1,0,0,0,0,0,0,0,entailment
0.600510120391846,0.911766886711121,1,0.115147195756435,1,1,1,0.909090909090909,1,0,0.625,0,0,0,neutral
1,0.585387945175171,1,1,1,1,1,1,1,0,0,0,0,0,neutral
1,1,1,1,1,1,1,0,0,0,0,0,0,0,neutral
1.00000011920929,0.215805858373642,1,0.274579703807831,1,1,1,1,0.75,0,0.555555555555556,0,0,0,neutral
0.898702323436737,1,1,0.135870665311813,1,1,1,1,0,0,0.5,0,0,0,neutral
0.597116053104401,0.180032849311829,1,0.457253694534302,1,1,1,1,1,0,1,0,0,0,neutral
1,0.619591653347015,1,0.339780151844025,1,1,1,0,0.5,0,0.705882352941176,0,0,0,entailment
0.678285121917725,1,1,0.65921425819397,1,0.107218891382217,0.564656496047974,1,0,0,1,0,0.5,1,entailment
0.932740331,1,1,0.497339308261871,1,1,1,1,0,0,1,0,0,0,contradiction
0.794848382472992,1,1,0.924538910388946,1,1,1,1,0,0,1,0,0,0,entailment
0.440490514039993,0.717918157577515,0.535778821,0.330494403839111,1,1,1,0.947368421052632,1,0,0,0,0,0,entailment
0.477614670991898,1,1,0.658915102,1,1,1,0.8,0,0,1,0,0,0,neutral
0.264848977327347,1,1,0.118838645517826,1,1,1,0.705882352941176,0,0,0.8,0,0,0,contradiction
0.874268591403961,0.79887992143631,1,0.624081969261169,1,1,1,1,1,0,0.615384615384615,0,0,0,entailment
0.093085483,1,1,0.04740858823061,1,1,1,0.705882352941176,0,0,0.666666666666667,0,0,0,contradiction
0.474191218614578,1,1,0.323199510574341,1,1,0.149146646261215,0.947368421052632,0,0,0.666666666666667,0,0,0,contradiction
0.554995179176331,0.245991185307503,1,1,1,1,0.079370633,0.705882352941176,0.666666666666667,0,0,0,0,1,contradiction
0.488068699836731,1,1,0.216755270957947,1,1,1,1,0,0,1,0,0,0,neutral
1.00000011920929,1,1,0.190769612789154,1,1,0.763895630836487,1,0,0,0.571428571428571,0,0,1,entailment
0.767246425,0.476143419742584,1,1.00000011920929,1,1,1,1,0.666666666666667,0,1,0,0,0,entailment
0.556892693042755,1.00000011920929,1,0.999999940395355,1,1,1,1,1,0,1,0,0,0,entailment
0.74562269449234,0.498519867658615,1,0.887016892433167,1,1,1,1,0.5,0,1,0,0,0,entailment
0.943345785140991,1,1,0.419082373,1,1,1,1,0,0,1,0,0,0,contradiction
0.336086452007294,0.24010843038559,0.1895482391119,0.391182273626328,0.180097728967667,0.187454834580421,0.402332246303558,0.9,0,0,1,0,0.666666666666667,1,neutral
1.00000011920929,1,1,0.475469470024109,1,1,1,1,0,0,0.5,0,0,0,entailment
0.621283173561096,0.445770382881165,1,1,1,1,1,0.8,0.571428571428571,0,0,0,0,0,entailment
1.00000011920929,0.294609755277634,1,0.610695242881775,1,1,1,1,0,0,0.588235294117647,0,0,0,entailment
0.277931153774261,0.281877339,1,0.237882435321808,1,1,1,0.833333333333333,0.5,0,0.888888888888889,0,0,0,contradiction
1.00000023841858,1,1,0.120208993554115,1,0.15345373749733,1,1,0,0,0.4,0,0,0,entailment
1,1.00000011920929,1,0.196909904479981,1,1,1,1,1,0,0.5,0,0,0,entailment
1.00000011920929,1,1,0.220650464296341,1,1,1,1,0,0,0.769230769230769,0,0,0,entailment
1,1,1,1,1,1,1,0,0,0,0,0,0,0,contradiction
0.794848382472992,1,1,0.685753345,1,1,1,1,0,0,1,0,0,0,contradiction
0.713851988315582,0.361196219921112,1,0.207691431045532,1,1,1,0.909090909090909,0.571428571428571,0,0.545454545454545,0,0,0.5,contradiction
0.825397849082947,1,1,0.177375465631485,0.720716714859009,0.177531331777573,1,1,0,0,0.5,1,0.888888888888889,0,neutral
0.756717443466187,1,1,0.099991269,1,1,1,1,0,0,0.714285714285714,0,0,0,entailment
0.474196493625641,0.305527061223984,1,1,1,1,0.107046350836754,0.9,0.545454545454545,0,0,0,0,0,entailment
0.457839965820313,0.191886216402054,0.187566116452217,0.129922062158585,0.187566116452217,0.160975962877274,0.265494048595428,0.9,0.625,0,0.8,0,0.615384615384615,0.5,contradiction
0.706642866134644,0.210285663604736,1,0.57039237,1,1,1,0.947368421052632,0,0,1,0,0,0,entailment
0.894955635070801,1,1,0.830283999443054,1,1,1,1,0,0,1,0,0,0,entailment
0.072304986,1,1,0.086890094,1,1,1,0.705882352941176,0,0,0.705882352941176,0,0,0,contradiction
0.655674338340759,1,1,0.357685387,1,1,1,1,0,0,0.75,0,0,0,contradiction
0.615320920944214,1,1,0.030109556391835,1,1,1,1,0,0,0.666666666666667,0,0,0,contradiction
