CLASS,Where,What,Who,When,Why,How,Additional information
neutral,1.00,1.00,1.00,-1.00,0.00,0.6611721611721612,1.00
neutral,0.21580585837364197,0.2745797038078308,1.00,0.00,0.00,0.00,1.00
neutral,1.00,0.13587066531181335,1.00,0.00,0.00,0.00,1.00
neutral,0.1800328493118286,0.45725369453430176,1.00,0.00,0.00,0.00,1.00
entailment,0.6195916533470154,0.1484781950712204,1.00,0.00,0.00,0.00,1.00
entailment,1.00,0.6592142581939697,1.00,0.00,0.00,-1.00,1.00
contradiction,1.00,0.49733930826187134,1.00,0.00,0.00,0.00,1.00
entailment,1.00,0.9245389103889465,1.00,0.00,0.00,0.00,1.00
entailment,0.7179181575775146,0.27843254804611206,-1.00,-1.00,0.00,0.00,1.00
neutral,1.00,0.66,1.00,0.00,0.00,0.00,1.00
contradiction,1.00,0.11883864551782608,1.00,0.00,0.00,0.00,1.00
entailment,0.7988799214363098,0.6240819692611694,1.00,0.00,0.00,0.00,1.00
contradiction,1.00,0.047408588230609894,1.00,0.00,0.00,0.00,1.00
contradiction,1.00,0.3231995105743408,1.00,0.00,0.00,0.00,-1.00
contradiction,0.24599118530750275,0.10528015345335007,-1.00,0.00,0.00,0.00,1.00
neutral,1.00,0.21675527095794678,1.00,0.00,0.00,0.00,1.00
entailment,1.00,0.40,1.00,0.00,0.00,0.00,1.00
entailment,0.47614341974258423,1.0000001192092896,1.00,0.00,0.00,0.00,1.00
entailment,1.0000001192092896,0.9999999403953552,1.00,0.00,0.00,0.00,1.00
entailment,0.4985198676586151,0.8870168924331665,1.00,0.00,0.00,0.00,1.00
contradiction,1.00,0.42,1.00,0.00,0.00,0.00,1.00
neutral,0.2401084303855896,0.3911822736263275,1.00,-1.00,-1.00,0.57,0.7831940144478844
entailment,1.00,0.4754694700241089,1.00,0.00,0.00,0.00,1.00
entailment,0.44577038288116455,0.22534281015396118,1.00,0.00,0.00,0.00,1.00
entailment,0.29460975527763367,0.6106952428817749,1.00,0.00,0.00,0.00,1.00
contradiction,0.28,0.2876601219177246,-1.00,0.00,0.00,0.00,1.00
entailment,1.00,0.1202089935541153,1.00,0.00,0.00,0.00,1.00
entailment,1.0000001192092896,0.19690990447998047,1.00,0.00,0.00,0.00,1.00
entailment,1.00,0.3484731912612915,1.00,0.00,0.00,0.00,1.00
contradiction,0.4867148697376251,0.15730082988739014,-1.00,0.00,0.00,0.00,1.00
contradiction,1.00,0.69,1.00,0.00,0.00,0.00,1.00
contradiction,0.36119621992111206,0.20769143104553223,1.00,0.00,0.00,0.00,1.00
neutral,1.00,0.33321964740753174,1.00,0.00,0.5333333333333333,-1.00,1.00
entailment,1.00,0.10,1.00,0.00,0.00,0.00,1.00
entailment,0.30552706122398376,0.31,-1.00,0.00,0.00,0.00,0.75
contradiction,0.19188621640205383,0.1299220621585846,-1.00,0.00,0.00,0.00,1.00
entailment,1.00,0.7478418946266174,1.00,0.00,0.00,0.00,0.9444444444444444
entailment,1.00,0.8302839994430542,1.00,0.00,0.00,0.00,1.00
contradiction,1.00,0.09,1.00,0.00,0.00,0.00,1.00
contradiction,1.00,0.36,1.00,0.00,0.00,0.00,1.00
contradiction,1.00,0.01,1.00,0.00,0.00,0.00,1.00
